VmPeak;VmSize;VmHWM;VmRSS;VmPTE;Threads;MemFree;Buffers;Cached;Active;Inactive;Dirty;Writeback;AnonPages;Mapped;Slab;PageTables;Committed_AS;NumOfAllocFH;proc-fd;avgThroughput;avgElapsed;avgLatency;Errors
144012;126424;14224;14224;108;9;5621452;29064;334600;0;131152;300072;5621452;8159224;156;0;67408;22840;26160;6968;268820;510;0;2
152272;150216;24508;23708;160;9;5610188;29144;334640;0;139780;299928;5610188;8159224;40;0;76172;23700;27792;7192;293700;510;0;2
152272;150216;24628;24588;160;15;5609652;29240;334640;0;140764;300020;5609652;8159224;144;0;76608;23708;27996;7188;293336;510;0;2
152272;150216;24628;24500;160;35;5610232;29336;334640;0;140624;300116;5610232;8159224;176;0;76608;23708;27996;7196;293336;510;0;2
152272;150216;24628;24580;160;29;5610032;29432;334640;0;140704;300212;5610032;8159224;20;0;76792;23708;27948;7196;295484;1020;0;2
152272;150216;24628;24500;160;29;5609896;29528;334640;0;140624;300308;5609896;8159224;44;0;76624;23708;27812;7192;297620;1020;0;2
152272;150216;24628;24592;160;30;5609648;29632;334640;0;140720;300412;5609648;8159224;24;0;76840;23708;27760;7196;295528;1530;0;2
152272;150216;24628;24540;160;24;5609812;29728;334640;0;140668;300508;5609812;8159224;48;0;76828;23708;27816;7196;295528;1530;0;2
152272;150216;24628;24524;160;24;5609688;29824;334640;0;140656;300604;5609688;8159224;12;0;76624;23708;27792;7196;295356;1020;0;2
152272;150216;24628;24572;160;17;5609380;29920;334640;0;140700;300696;5609380;8159224;172;0;76620;23708;27920;7192;295288;1020;0;2
152272;150216;24628;24576;160;10;5609436;30020;334636;0;140700;300792;5609436;8159224;132;0;76736;23708;27800;7192;297204;1530;0;2
152272;150216;24628;23824;160;9;5609824;30116;334640;0;140020;300828;5609824;8159224;56;0;76076;23772;27776;7196;297208;1020;0;2
152272;150216;24628;24576;160;62;5609152;30212;334640;0;140776;300924;5609152;8159224;24;0;76676;23772;27720;7196;294880;1020;0;2
152272;150216;24696;24420;160;54;5609324;30308;334640;0;140620;301012;5609324;8159224;56;0;76520;23772;27768;7192;296852;1020;0;2
152272;150216;24696;24492;160;35;5608864;30404;334632;0;140684;301116;5608864;8159224;20;0;76628;23772;27788;7196;298936;1020;0;2
152272;150216;24696;24568;160;18;5609256;30500;334640;0;140768;301212;5609256;8159224;36;0;76604;23772;27864;7196;294464;1530;0;2
152272;150216;24696;23824;160;9;5609576;30596;334640;0;140024;301308;5609576;8159224;140;0;76080;23772;27788;7196;294504;2040;0;2
152272;150216;24696;23824;160;9;5608956;30700;334640;0;140024;301412;5608956;8159224;172;0;75984;23772;27812;7196;294504;1530;0;2
152272;150216;25172;25104;160;63;5607780;30796;334644;0;141300;301504;5607780;8159224;20;0;77356;23772;27928;7192;294504;1530;0;2
152272;150216;25172;25108;160;55;5607348;30900;334636;0;141312;301612;5607348;8159224;52;0;77364;23772;27764;7196;294240;1530;0;2
152272;150216;25172;25108;160;38;5606988;30996;334648;0;141312;301712;5606988;8159224;20;0;77364;23772;27800;7192;296284;1020;0;2
152272;150216;25172;25108;160;25;5606960;31092;334648;0;141316;301804;5606960;8159224;48;0;77364;23772;27808;7196;298356;1020;0;2
152272;150216;25172;25108;160;12;5607072;31188;334640;0;141320;301888;5607072;8159224;12;0;77364;23772;27872;7196;296112;1020;0;2
152272;150216;25172;25108;160;9;5607220;31284;334648;0;141320;301992;5607220;8159224;176;0;77364;23772;28016;7196;296112;1020;0;2
